[(688, -33), (51, 2989), (680, 1132)]
[(537, -2551), (72, 2602), (672, 1281)]
[(509, -2579), (106, 2929), (-443, 381), (633, 1328)]
[(459, -998), (-138, 965)]
[(459, -998), (19, 1175)]
[(459, -998), (19, 1175)]
[(436, -532), (321, 1685)]
[(411, -289), (355, 1755)]
[(377, -410), (322, 1325)]
[(374, -91), (315, 1235)]
[(324, 462)]
[(324, 462)]
[(321, 626)]
[(284, 567)]
[(254, 677)]
[(112, -71)]
[(112, -71), (713, 1403)]
[(94, 129), (713, 1403)]
[(47, -139), (820, 1297)]
[(-6, -246), (885, 1571)]
[(-80, 369), (760, 2196)]
[(-142, 419), (846, 2261), (984, 873)]
[(-166, 197), (961, 2742), (1045, 1269)]
[(-206, 468), (930, 2382), (1164, 1233)]
[(-231, 198), (1037, 2813), (1164, 1233), (14, 1191)]
[(-231, 198), (1037, 2813), (1271, 1262)]
[(-294, 145), (1099, 2749), (1350, 962), (-28, 1177)]
[(-382, 105), (1153, 2560), (1352, 984)]
[(-382, 105), (1153, 2560), (1443, 843)]
[(-466, 8), (1226, 2541), (1443, 957)]
[(-545, -8), (1322, 2548)]
[(-609, 237), (1231, 1936)]
[(-609, 237), (1231, 1936)]
[(-607, -27), (1425, 2539)]
[(-607, -27), (1425, 2539)]
[(-667, -109), (1450, 2309)]
[(-718, -215), (1498, 2234)]
[(-797, 25), (1407, 1749)]
[(-773, -363), (1548, 2133)]
[(-867, -104), (1456, 1666)]
[(-889, -774), (1088, -457)]
[(-889, -774), (1088, -457)]
[(-937, -342), (1167, -304)]
[(-881, -1265), (1799, 2148)]
[(1939, 2250)]
[(1939, 2250)]
[(1998, 2204)]
[(1890, 1807)]
[(2025, 2107)]
[(1917, 1723)]
[(2053, 2016)]
[(2182, 2293)]
[(2205, 2209)]
[(2097, 1858)]
[(2097, 1858)]
[(2124, 1794)]
[(2118, 1681)]
[(2063, 1511)]
[(2180, 1738)]
[(2180, 1738)]
[(2123, 1564)]
[(2194, 1701)]
[(2217, 1698)]
[(2261, 1720)]
[(2261, 1720)]
[(2310, 1736)]
[(2233, 1519)]
[(2233, 1519)]
[(2357, 1747)]
[(2390, 1718)]
[(2522, 1959)]
[(2452, 1772)]
[(2558, 1932)]
[(2593, 1966)]
[(2593, 1966)]
[(2555, 1869)]
[(2708, 2106)]
[(3098, 2788)]
[(3044, 2660)]
[]
[]
[]
[(2366, 1461)]
[(2351, 1420)]
[(2423, 1545)]
[(2345, 1347)]
[(2467, 1556)]
[(2600, 1785)]
[(2733, 1979)]
[(2673, 1835)]
[(2673, 1835)]
[]
[]
[]
[]
[]
[(1737, 89)]
[(1689, 820)]
[(1647, 937)]
[(1647, 937)]
[(1630, 635)]
[(1630, 635)]
[(1599, 584)]
[(1549, 658)]
[(1552, 545)]
[(1493, 749)]
[(1493, 632)]
[(1428, 719)]
[(1394, 844)]
[(1394, 844)]
[(1360, 747)]
[(1351, 483)]
[(1314, 307)]
[(2325, 1250), (1285, 443)]
[(2325, 1250), (1274, 235)]
